,c_isTimeseries,c_isCube,publisher,temporal,spatial,programCode,modified,keyword,contactPoint,distribution,description,bureauCode,accessLevel,title,c_isAvailable,c_isAggregate,c_valuesLink,c_groupsLink,c_examplesLink,c_tagsLink,c_variablesLink,c_geographyLink,c_dataset,vintage
CBP1996,,,U.S. Census Bureau,1996/1996,United States,006:007,2019-02-13,(),"{'fn': 'CBP Staff', 'hasEmail': 'ewd.county.business.patterns@census.gov'}","{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1996/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}","County Business Patterns (CBP) is an annual series that provides economic data by industry at the U.S., State, County and Metropolitan Area levels. This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. CBP provides statistics for businesses with paid employees for the U.S., Puerto Rico, and the Island Areas. Census Bureau staff identified a processing error that affects selected data from the 2014 County Business Patterns (CBP). As a result, we suppressed 2014 employment and payroll totals in the Health Care and Social Assistance sector (Sector 62) for the following geographies: U.S.; Michigan; Battle Creek, MI metro area; Calhoun County, MI; and the 3rd congressional district of Michigan. This processing error did not affect other sectors. While suppressed values can be derived by subtraction, we do not recommend using the derived values in any analyses.  The Census Bureau plans to release revised statistics at a later date.",006:07,public,1996 County Business Patterns: Business Patterns,True,True,https://api.census.gov/data/1996/cbp/values.json,https://api.census.gov/data/1996/cbp/groups.json,https://api.census.gov/data/1996/cbp/examples.json,https://api.census.gov/data/1996/cbp/tags.json,https://api.census.gov/data/1996/cbp/variables.json,https://api.census.gov/data/1996/cbp/geography.json,"('cbp',)",1996.0
CBP1997,,,U.S. Census Bureau,1997/1997,United States,006:007,2019-02-13,(),"{'fn': 'CBP Staff', 'hasEmail': 'ewd.county.business.patterns@census.gov'}","{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1997/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}","County Business Patterns (CBP) is an annual series that provides economic data by industry at the U.S., State, County and Metropolitan Area levels. This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. CBP provides statistics for businesses with paid employees for the U.S., Puerto Rico, and the Island Areas. Census Bureau staff identified a processing error that affects selected data from the 2014 County Business Patterns (CBP). As a result, we suppressed 2014 employment and payroll totals in the Health Care and Social Assistance sector (Sector 62) for the following geographies: U.S.; Michigan; Battle Creek, MI metro area; Calhoun County, MI; and the 3rd congressional district of Michigan. This processing error did not affect other sectors. While suppressed values can be derived by subtraction, we do not recommend using the derived values in any analyses.  The Census Bureau plans to release revised statistics at a later date.",006:07,public,1997 County Business Patterns: Business Patterns,True,True,https://api.census.gov/data/1997/cbp/values.json,https://api.census.gov/data/1997/cbp/groups.json,https://api.census.gov/data/1997/cbp/examples.json,https://api.census.gov/data/1997/cbp/tags.json,https://api.census.gov/data/1997/cbp/variables.json,https://api.census.gov/data/1997/cbp/geography.json,"('cbp',)",1997.0
CBP1998,,,U.S. Census Bureau,1998/1998,United States,006:007,2019-02-13,(),"{'fn': 'CBP Staff', 'hasEmail': 'ewd.county.business.patterns@census.gov'}","{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1998/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}","County Business Patterns (CBP) is an annual series that provides economic data by industry at the U.S., State, County and Metropolitan Area levels. This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. CBP provides statistics for businesses with paid employees for the U.S., Puerto Rico, and the Island Areas. Census Bureau staff identified a processing error that affects selected data from the 2014 County Business Patterns (CBP). As a result, we suppressed 2014 employment and payroll totals in the Health Care and Social Assistance sector (Sector 62) for the following geographies: U.S.; Michigan; Battle Creek, MI metro area; Calhoun County, MI; and the 3rd congressional district of Michigan. This processing error did not affect other sectors. While suppressed values can be derived by subtraction, we do not recommend using the derived values in any analyses.  The Census Bureau plans to release revised statistics at a later date.",006:07,public,1998 County Business Patterns: Business Patterns,True,True,https://api.census.gov/data/1998/cbp/values.json,https://api.census.gov/data/1998/cbp/groups.json,https://api.census.gov/data/1998/cbp/examples.json,https://api.census.gov/data/1998/cbp/tags.json,https://api.census.gov/data/1998/cbp/variables.json,https://api.census.gov/data/1998/cbp/geography.json,"('cbp',)",1998.0
CBP1999,,,U.S. Census Bureau,1999/1999,United States,006:007,2019-02-13,(),"{'fn': 'CBP Staff', 'hasEmail': 'ewd.county.business.patterns@census.gov'}","{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/1999/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}","County Business Patterns (CBP) is an annual series that provides economic data by industry at the U.S., State, County and Metropolitan Area levels. This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. CBP provides statistics for businesses with paid employees for the U.S., Puerto Rico, and the Island Areas. Census Bureau staff identified a processing error that affects selected data from the 2014 County Business Patterns (CBP). As a result, we suppressed 2014 employment and payroll totals in the Health Care and Social Assistance sector (Sector 62) for the following geographies: U.S.; Michigan; Battle Creek, MI metro area; Calhoun County, MI; and the 3rd congressional district of Michigan. This processing error did not affect other sectors. While suppressed values can be derived by subtraction, we do not recommend using the derived values in any analyses.  The Census Bureau plans to release revised statistics at a later date.",006:07,public,1999 County Business Patterns: Business Patterns,True,True,https://api.census.gov/data/1999/cbp/values.json,https://api.census.gov/data/1999/cbp/groups.json,https://api.census.gov/data/1999/cbp/examples.json,https://api.census.gov/data/1999/cbp/tags.json,https://api.census.gov/data/1999/cbp/variables.json,https://api.census.gov/data/1999/cbp/geography.json,"('cbp',)",1999.0
CBP2000,,,U.S. Census Bureau,2000/2000,United States,006:007,2019-02-13,(),"{'fn': 'CBP Staff', 'hasEmail': 'ewd.county.business.patterns@census.gov'}","{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2000/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}","County Business Patterns (CBP) is an annual series that provides economic data by industry at the U.S., State, County and Metropolitan Area levels. This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. CBP provides statistics for businesses with paid employees for the U.S., Puerto Rico, and the Island Areas. Census Bureau staff identified a processing error that affects selected data from the 2014 County Business Patterns (CBP). As a result, we suppressed 2014 employment and payroll totals in the Health Care and Social Assistance sector (Sector 62) for the following geographies: U.S.; Michigan; Battle Creek, MI metro area; Calhoun County, MI; and the 3rd congressional district of Michigan. This processing error did not affect other sectors. While suppressed values can be derived by subtraction, we do not recommend using the derived values in any analyses.  The Census Bureau plans to release revised statistics at a later date.",006:07,public,2000 County Business Patterns: Business Patterns,True,True,https://api.census.gov/data/2000/cbp/values.json,https://api.census.gov/data/2000/cbp/groups.json,https://api.census.gov/data/2000/cbp/examples.json,https://api.census.gov/data/2000/cbp/tags.json,https://api.census.gov/data/2000/cbp/variables.json,https://api.census.gov/data/2000/cbp/geography.json,"('cbp',)",2000.0
CBP2001,,,U.S. Census Bureau,2001/2001,United States,006:007,2019-02-13,(),"{'fn': 'CBP Staff', 'hasEmail': 'ewd.county.business.patterns@census.gov'}","{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2001/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}","County Business Patterns (CBP) is an annual series that provides economic data by industry at the U.S., State, County and Metropolitan Area levels. This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. CBP provides statistics for businesses with paid employees for the U.S., Puerto Rico, and the Island Areas. Census Bureau staff identified a processing error that affects selected data from the 2014 County Business Patterns (CBP). As a result, we suppressed 2014 employment and payroll totals in the Health Care and Social Assistance sector (Sector 62) for the following geographies: U.S.; Michigan; Battle Creek, MI metro area; Calhoun County, MI; and the 3rd congressional district of Michigan. This processing error did not affect other sectors. While suppressed values can be derived by subtraction, we do not recommend using the derived values in any analyses.  The Census Bureau plans to release revised statistics at a later date.",006:07,public,2001 County Business Patterns: Business Patterns,True,True,https://api.census.gov/data/2001/cbp/values.json,https://api.census.gov/data/2001/cbp/groups.json,https://api.census.gov/data/2001/cbp/examples.json,https://api.census.gov/data/2001/cbp/tags.json,https://api.census.gov/data/2001/cbp/variables.json,https://api.census.gov/data/2001/cbp/geography.json,"('cbp',)",2001.0
CBP2002,,,U.S. Census Bureau,2002/2002,United States,006:007,2019-02-13,(),"{'fn': 'CBP Staff', 'hasEmail': 'ewd.county.business.patterns@census.gov'}","{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2002/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}","County Business Patterns (CBP) is an annual series that provides economic data by industry at the U.S., State, County and Metropolitan Area levels. This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. CBP provides statistics for businesses with paid employees for the U.S., Puerto Rico, and the Island Areas. Census Bureau staff identified a processing error that affects selected data from the 2014 County Business Patterns (CBP). As a result, we suppressed 2014 employment and payroll totals in the Health Care and Social Assistance sector (Sector 62) for the following geographies: U.S.; Michigan; Battle Creek, MI metro area; Calhoun County, MI; and the 3rd congressional district of Michigan. This processing error did not affect other sectors. While suppressed values can be derived by subtraction, we do not recommend using the derived values in any analyses.  The Census Bureau plans to release revised statistics at a later date.",006:07,public,2002 County Business Patterns: Business Patterns,True,True,https://api.census.gov/data/2002/cbp/values.json,https://api.census.gov/data/2002/cbp/groups.json,https://api.census.gov/data/2002/cbp/examples.json,https://api.census.gov/data/2002/cbp/tags.json,https://api.census.gov/data/2002/cbp/variables.json,https://api.census.gov/data/2002/cbp/geography.json,"('cbp',)",2002.0
CBP2003,,,U.S. Census Bureau,2003/2003,United States,006:007,2019-02-13,(),"{'fn': 'CBP Staff', 'hasEmail': 'ewd.county.business.patterns@census.gov'}","{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2003/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}","County Business Patterns (CBP) is an annual series that provides economic data by industry at the U.S., State, County and Metropolitan Area levels. This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. CBP provides statistics for businesses with paid employees for the U.S., Puerto Rico, and the Island Areas. Census Bureau staff identified a processing error that affects selected data from the 2014 County Business Patterns (CBP). As a result, we suppressed 2014 employment and payroll totals in the Health Care and Social Assistance sector (Sector 62) for the following geographies: U.S.; Michigan; Battle Creek, MI metro area; Calhoun County, MI; and the 3rd congressional district of Michigan. This processing error did not affect other sectors. While suppressed values can be derived by subtraction, we do not recommend using the derived values in any analyses.  The Census Bureau plans to release revised statistics at a later date.",006:07,public,2003 County Business Patterns: Business Patterns,True,True,https://api.census.gov/data/2003/cbp/values.json,https://api.census.gov/data/2003/cbp/groups.json,https://api.census.gov/data/2003/cbp/examples.json,https://api.census.gov/data/2003/cbp/tags.json,https://api.census.gov/data/2003/cbp/variables.json,https://api.census.gov/data/2003/cbp/geography.json,"('cbp',)",2003.0
CBP2004,,,U.S. Census Bureau,2004/2004,United States,006:007,2019-02-13,(),"{'fn': 'CBP Staff', 'hasEmail': 'ewd.county.business.patterns@census.gov'}","{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2004/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}","County Business Patterns (CBP) is an annual series that provides economic data by industry at the U.S., State, County and Metropolitan Area levels. This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. CBP provides statistics for businesses with paid employees for the U.S., Puerto Rico, and the Island Areas. Census Bureau staff identified a processing error that affects selected data from the 2014 County Business Patterns (CBP). As a result, we suppressed 2014 employment and payroll totals in the Health Care and Social Assistance sector (Sector 62) for the following geographies: U.S.; Michigan; Battle Creek, MI metro area; Calhoun County, MI; and the 3rd congressional district of Michigan. This processing error did not affect other sectors. While suppressed values can be derived by subtraction, we do not recommend using the derived values in any analyses.  The Census Bureau plans to release revised statistics at a later date.",006:07,public,2004 County Business Patterns: Business Patterns,True,True,https://api.census.gov/data/2004/cbp/values.json,https://api.census.gov/data/2004/cbp/groups.json,https://api.census.gov/data/2004/cbp/examples.json,https://api.census.gov/data/2004/cbp/tags.json,https://api.census.gov/data/2004/cbp/variables.json,https://api.census.gov/data/2004/cbp/geography.json,"('cbp',)",2004.0
CBP2005,,,U.S. Census Bureau,2005/2005,United States,006:007,2019-02-13,(),"{'fn': 'CBP Staff', 'hasEmail': 'ewd.county.business.patterns@census.gov'}","{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2005/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}","County Business Patterns (CBP) is an annual series that provides economic data by industry at the U.S., State, County and Metropolitan Area levels. This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. CBP provides statistics for businesses with paid employees for the U.S., Puerto Rico, and the Island Areas. Census Bureau staff identified a processing error that affects selected data from the 2014 County Business Patterns (CBP). As a result, we suppressed 2014 employment and payroll totals in the Health Care and Social Assistance sector (Sector 62) for the following geographies: U.S.; Michigan; Battle Creek, MI metro area; Calhoun County, MI; and the 3rd congressional district of Michigan. This processing error did not affect other sectors. While suppressed values can be derived by subtraction, we do not recommend using the derived values in any analyses.  The Census Bureau plans to release revised statistics at a later date.",006:07,public,2005 County Business Patterns: Business Patterns,True,True,https://api.census.gov/data/2005/cbp/values.json,https://api.census.gov/data/2005/cbp/groups.json,https://api.census.gov/data/2005/cbp/examples.json,https://api.census.gov/data/2005/cbp/tags.json,https://api.census.gov/data/2005/cbp/variables.json,https://api.census.gov/data/2005/cbp/geography.json,"('cbp',)",2005.0
CBP2006,,,U.S. Census Bureau,2006/2006,United States,006:007,2019-02-13,(),"{'fn': 'CBP Staff', 'hasEmail': 'ewd.county.business.patterns@census.gov'}","{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2006/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}","County Business Patterns (CBP) is an annual series that provides economic data by industry at the U.S., State, County and Metropolitan Area levels. This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. CBP provides statistics for businesses with paid employees for the U.S., Puerto Rico, and the Island Areas. Census Bureau staff identified a processing error that affects selected data from the 2014 County Business Patterns (CBP). As a result, we suppressed 2014 employment and payroll totals in the Health Care and Social Assistance sector (Sector 62) for the following geographies: U.S.; Michigan; Battle Creek, MI metro area; Calhoun County, MI; and the 3rd congressional district of Michigan. This processing error did not affect other sectors. While suppressed values can be derived by subtraction, we do not recommend using the derived values in any analyses.  The Census Bureau plans to release revised statistics at a later date.",006:07,public,2006 County Business Patterns: Business Patterns,True,True,https://api.census.gov/data/2006/cbp/values.json,https://api.census.gov/data/2006/cbp/groups.json,https://api.census.gov/data/2006/cbp/examples.json,https://api.census.gov/data/2006/cbp/tags.json,https://api.census.gov/data/2006/cbp/variables.json,https://api.census.gov/data/2006/cbp/geography.json,"('cbp',)",2006.0
CBP2007,,,U.S. Census Bureau,2007/2007,United States,006:007,2019-02-13,(),"{'fn': 'CBP Staff', 'hasEmail': 'ewd.county.business.patterns@census.gov'}","{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2007/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}","County Business Patterns (CBP) is an annual series that provides economic data by industry at the U.S., State, County and Metropolitan Area levels. This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. CBP provides statistics for businesses with paid employees for the U.S., Puerto Rico, and the Island Areas. Census Bureau staff identified a processing error that affects selected data from the 2014 County Business Patterns (CBP). As a result, we suppressed 2014 employment and payroll totals in the Health Care and Social Assistance sector (Sector 62) for the following geographies: U.S.; Michigan; Battle Creek, MI metro area; Calhoun County, MI; and the 3rd congressional district of Michigan. This processing error did not affect other sectors. While suppressed values can be derived by subtraction, we do not recommend using the derived values in any analyses.  The Census Bureau plans to release revised statistics at a later date.",006:07,public,2007 County Business Patterns: Business Patterns,True,True,https://api.census.gov/data/2007/cbp/values.json,https://api.census.gov/data/2007/cbp/groups.json,https://api.census.gov/data/2007/cbp/examples.json,https://api.census.gov/data/2007/cbp/tags.json,https://api.census.gov/data/2007/cbp/variables.json,https://api.census.gov/data/2007/cbp/geography.json,"('cbp',)",2007.0
CBP2008,,,U.S. Census Bureau,2008/2008,United States,006:007,2017-02-22,(),"{'fn': 'CBP Staff', 'hasEmail': 'epcd.county.business.patterns@census.gov'}","{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2008/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}","County Business Patterns (CBP) is an annual series that provides economic data by industry at the U.S., State, County and Metropolitan Area levels. This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. CBP provides statistics for businesses with paid employees for the U.S., Puerto Rico, and the Island Areas. Census Bureau staff identified a processing error that affects selected data from the 2014 County Business Patterns (CBP). As a result, we suppressed 2014 employment and payroll totals in the Health Care and Social Assistance sector (Sector 62) for the following geographies: U.S.; Michigan; Battle Creek, MI metro area; Calhoun County, MI; and the 3rd congressional district of Michigan. This processing error did not affect other sectors. While suppressed values can be derived by subtraction, we do not recommend using the derived values in any analyses.  The Census Bureau plans to release revised statistics at a later date.",006:07,public,2008 County Business Patterns: Business Patterns,True,True,https://api.census.gov/data/2008/cbp/values.json,https://api.census.gov/data/2008/cbp/groups.json,https://api.census.gov/data/2008/cbp/examples.json,https://api.census.gov/data/2008/cbp/tags.json,https://api.census.gov/data/2008/cbp/variables.json,https://api.census.gov/data/2008/cbp/geography.json,"('cbp',)",2008.0
CBP2010,,,U.S. Census Bureau,2010/2010,United States,006:007,2017-02-22,(),"{'fn': 'CBP Staff', 'hasEmail': 'epcd.county.business.patterns@census.gov'}","{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2010/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}","County Business Patterns (CBP) is an annual series that provides economic data by industry at the U.S., State, County and Metropolitan Area levels. This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. CBP provides statistics for businesses with paid employees for the U.S., Puerto Rico, and the Island Areas. Census Bureau staff identified a processing error that affects selected data from the 2014 County Business Patterns (CBP). As a result, we suppressed 2014 employment and payroll totals in the Health Care and Social Assistance sector (Sector 62) for the following geographies: U.S.; Michigan; Battle Creek, MI metro area; Calhoun County, MI; and the 3rd congressional district of Michigan. This processing error did not affect other sectors. While suppressed values can be derived by subtraction, we do not recommend using the derived values in any analyses.  The Census Bureau plans to release revised statistics at a later date.",006:07,public,2010 County Business Patterns: Business Patterns,True,True,https://api.census.gov/data/2010/cbp/values.json,https://api.census.gov/data/2010/cbp/groups.json,https://api.census.gov/data/2010/cbp/examples.json,https://api.census.gov/data/2010/cbp/tags.json,https://api.census.gov/data/2010/cbp/variables.json,https://api.census.gov/data/2010/cbp/geography.json,"('cbp',)",2010.0
CBP2011,,,U.S. Census Bureau,2011/2011,United States,006:007,2017-02-22,(),"{'fn': 'CBP Staff', 'hasEmail': 'epcd.county.business.patterns@census.gov'}","{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2011/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}","County Business Patterns (CBP) is an annual series that provides economic data by industry at the U.S., State, County and Metropolitan Area levels. This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. CBP provides statistics for businesses with paid employees for the U.S., Puerto Rico, and the Island Areas. Census Bureau staff identified a processing error that affects selected data from the 2014 County Business Patterns (CBP). As a result, we suppressed 2014 employment and payroll totals in the Health Care and Social Assistance sector (Sector 62) for the following geographies: U.S.; Michigan; Battle Creek, MI metro area; Calhoun County, MI; and the 3rd congressional district of Michigan. This processing error did not affect other sectors. While suppressed values can be derived by subtraction, we do not recommend using the derived values in any analyses.  The Census Bureau plans to release revised statistics at a later date.",006:07,public,2011 County Business Patterns: Business Patterns,True,True,https://api.census.gov/data/2011/cbp/values.json,https://api.census.gov/data/2011/cbp/groups.json,https://api.census.gov/data/2011/cbp/examples.json,https://api.census.gov/data/2011/cbp/tags.json,https://api.census.gov/data/2011/cbp/variables.json,https://api.census.gov/data/2011/cbp/geography.json,"('cbp',)",2011.0
CBP2012,,,U.S. Census Bureau,"April 1,2010",United States,006:007,2018-04-20 00:00:00.0,(),"{'fn': 'CBP Staff', 'hasEmail': 'mailto:econ.dissemination@census.gov'}","{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2012/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}","County Business Patterns (CBP) is an annual series that provides sub-national economic data by industry.  This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. This data is useful for studying the economic activity of small areas, analyzing economic changes over time, and as a benchmark for other statistical series, surveys, and databases between economic censuses. Businesses use the data for analyzing market potential, measuring the effectiveness of sales and advertising programs, setting sales quotas, and developing budgets. Government agencies use the data for administration and planning.",,,2012 County Business Patterns,True,True,https://api.census.gov/data/2012/cbp/values.json,https://api.census.gov/data/2012/cbp/groups.json,https://api.census.gov/data/2012/cbp/examples.json,https://api.census.gov/data/2012/cbp/tags.json,https://api.census.gov/data/2012/cbp/variables.json,https://api.census.gov/data/2012/cbp/geography.json,"('cbp',)",2012.0
CBP2013,,,U.S. Census Bureau,"April 1,2010",United States,006:007,2018-04-20 00:00:00.0,(),"{'fn': 'CBP Staff', 'hasEmail': 'mailto:econ.dissemination@census.gov'}","{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2013/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}","County Business Patterns (CBP) is an annual series that provides sub-national economic data by industry.  This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. This data is useful for studying the economic activity of small areas, analyzing economic changes over time, and as a benchmark for other statistical series, surveys, and databases between economic censuses. Businesses use the data for analyzing market potential, measuring the effectiveness of sales and advertising programs, setting sales quotas, and developing budgets. Government agencies use the data for administration and planning.",,,2013 County Business Patterns,True,True,https://api.census.gov/data/2013/cbp/values.json,https://api.census.gov/data/2013/cbp/groups.json,https://api.census.gov/data/2013/cbp/examples.json,https://api.census.gov/data/2013/cbp/tags.json,https://api.census.gov/data/2013/cbp/variables.json,https://api.census.gov/data/2013/cbp/geography.json,"('cbp',)",2013.0
CBP2014,,,U.S. Census Bureau,"April 1,2010",United States,006:007,2018-04-20 00:00:00.0,(),"{'fn': 'CBP Staff', 'hasEmail': 'mailto:econ.dissemination@census.gov'}","{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2014/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}","County Business Patterns (CBP) is an annual series that provides sub-national economic data by industry.  This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. This data is useful for studying the economic activity of small areas, analyzing economic changes over time, and as a benchmark for other statistical series, surveys, and databases between economic censuses. Businesses use the data for analyzing market potential, measuring the effectiveness of sales and advertising programs, setting sales quotas, and developing budgets. Government agencies use the data for administration and planning.",,,2014 County Business Patterns,True,True,https://api.census.gov/data/2014/cbp/values.json,https://api.census.gov/data/2014/cbp/groups.json,https://api.census.gov/data/2014/cbp/examples.json,https://api.census.gov/data/2014/cbp/tags.json,https://api.census.gov/data/2014/cbp/variables.json,https://api.census.gov/data/2014/cbp/geography.json,"('cbp',)",2014.0
CBP2015,,,U.S. Census Bureau,"April 1,2010",United States,006:007,2018-04-20 00:00:00.0,(),"{'fn': 'CBP Staff', 'hasEmail': 'mailto:econ.dissemination@census.gov'}","{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2015/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}","County Business Patterns (CBP) is an annual series that provides sub-national economic data by industry.  This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. This data is useful for studying the economic activity of small areas, analyzing economic changes over time, and as a benchmark for other statistical series, surveys, and databases between economic censuses. Businesses use the data for analyzing market potential, measuring the effectiveness of sales and advertising programs, setting sales quotas, and developing budgets. Government agencies use the data for administration and planning.",,,2015 County Business Patterns,True,True,https://api.census.gov/data/2015/cbp/values.json,https://api.census.gov/data/2015/cbp/groups.json,https://api.census.gov/data/2015/cbp/examples.json,https://api.census.gov/data/2015/cbp/tags.json,https://api.census.gov/data/2015/cbp/variables.json,https://api.census.gov/data/2015/cbp/geography.json,"('cbp',)",2015.0
CBP2016,,,U.S. Census Bureau,"April 1,2010",United States,006:007,2018-04-20 00:00:00.0,(),"{'fn': 'CBP Staff', 'hasEmail': 'mailto:econ.dissemination@census.gov'}","{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2016/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}","County Business Patterns (CBP) is an annual series that provides sub-national economic data by industry.  This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. This data is useful for studying the economic activity of small areas, analyzing economic changes over time, and as a benchmark for other statistical series, surveys, and databases between economic censuses. Businesses use the data for analyzing market potential, measuring the effectiveness of sales and advertising programs, setting sales quotas, and developing budgets. Government agencies use the data for administration and planning.",,,2016 County Business Patterns,True,True,https://api.census.gov/data/2016/cbp/values.json,https://api.census.gov/data/2016/cbp/groups.json,https://api.census.gov/data/2016/cbp/examples.json,https://api.census.gov/data/2016/cbp/tags.json,https://api.census.gov/data/2016/cbp/variables.json,https://api.census.gov/data/2016/cbp/geography.json,"('cbp',)",2016.0
CBP2017,,,U.S. Census Bureau,unidentified,,006:007,2019-11-07 14:49:23.0,(),"{'fn': 'CBP Staff', 'hasEmail': 'mailto:Econ.dissemination@census.gov'}","{'@type': 'dcat:Distribution', 'accessURL': 'https://api.census.gov/data/2017/cbp', 'description': 'API endpoint', 'format': 'API', 'mediaType': 'application/json', 'title': 'API endpoint'}","County Business Patterns (CBP) is an annual series that provides sub-national economic data by industry.  This series includes the number of establishments, employment during the week of March 12, first quarter payroll, and annual payroll. This data is useful for studying the economic activity of small areas, analyzing economic changes over time, and as a benchmark for other statistical series, surveys, and databases between economic censuses. Businesses use the data for analyzing market potential, measuring the effectiveness of sales and advertising programs, setting sales quotas, and developing budgets. Government agencies use the data for administration and planning.",,,Economic Annual Surveys: Business Patterns: County Business Patterns,True,True,https://api.census.gov/data/2017/cbp/values.json,https://api.census.gov/data/2017/cbp/groups.json,https://api.census.gov/data/2017/cbp/examples.json,https://api.census.gov/data/2017/cbp/tags.json,https://api.census.gov/data/2017/cbp/variables.json,https://api.census.gov/data/2017/cbp/geography.json,"('cbp',)",2017.0
